"Source:","E:\KiCad projects\Dual rail supply for breadboard\Dual Rail Supply For Breadboard\Dual Rail Supply For Breadboard.kicad_sch"
"Date:","06-10-2022 21:44:36"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","23"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","0.01u","C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","Unpolarized capacitor, small symbol",""
"C2, ","1","1000uF","C_Polarized_Small","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","Polarized capacitor, small symbol",""
"C3, C4, ","2","470u","C_Polarized_Small","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","Polarized capacitor, small symbol",""
"D1, ","1","1N5820","1N5820","Diode_THT:D_DO-201AD_P12.70mm_Horizontal","20V 3A Schottky Barrier Rectifier Diode, DO-201AD",""
"J1, ","1","Jack-DC","Jack-DC","Connector_BarrelJack:BarrelJack_Horizontal","DC Barrel Jack",""
"J2, J3, J4, J5, J6, J7, J8, J9, ","8","Conn_01x02_Male","Conn_01x02_Male","Naman_footprints:custom_PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J10, ","1","USB_B_Micro","USB_B_Micro","Connector_USB:USB_Micro-AB_Molex_47590-0001","USB Micro Type B connector",""
"Q1, ","1","IRF9540N","IRF9540N","Package_TO_SOT_THT:TO-220-3_Vertical","-23A Id, -100V Vds, 117mOhm Rds, P-Channel HEXFET Power MOSFET, TO-220",""
"Q2, ","1","TIP41","TIP41","Package_TO_SOT_THT:TO-220-3_Vertical","6A Ic, 40V Vce, Power NPN Transistor, TO-220",""
"Q3, ","1","TIP42","TIP42","Package_TO_SOT_THT:TO-220-3_Vertical","-6A Ic, -40V Vce, Power PNP Transistor, TO-220",""
"R1, R2, ","2","100k","R_Small","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","Resistor, small symbol",""
"U1, ","1","Boost_Convertor","Boost_Convertor","Naman_footprints:MT3608 boost","",""
"U2, ","1","Voltage_Display","Voltage_Display","Naman_footprints:Voltage_disp_2wire","",""
"U3, ","1","LM741","LM741","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","Operational Amplifier, DIP-8/TO-99-8",""
